Risk ID,Business Service,Risk Statement,Threat Event,Vulnerability,Impact Description,Likelihood (1-5),Impact (1-5),Inherent Risk,Existing Controls,Control Effectiveness (1-5),Residual Risk,Risk Owner,Treatment Option,Target Date,Status,Framework Mapping,Evidence/Notes
R0241,Endpoint Fleet,"If credential stuffing affects endpoint fleet, then disruption could impact customers and revenue.",Credential stuffing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,WAF and rate limiting; SIEM detections; EDR with containment,4,13,IT Ops Manager,Mitigate,2024-12-31,Closed,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0242,Network Core,"If privilege escalation affects network core, then disruption could impact customers and revenue.",Privilege escalation,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,MFA; SIEM detections; Backups tested,5,6,Risk Manager,Transfer,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0243,Customer Portal,"If ransomware affects customer portal, then disruption could impact customers and revenue.",Ransomware,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Network segmentation; Backups tested; Change control,1,15,Risk Manager,Avoid,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0244,ERP,"If ransomware affects erp, then disruption could impact customers and revenue.",Ransomware,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,PAM enforced; EDR with containment; MFA,2,11,SOC Manager,Accept,2024-12-31,Monitoring,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0245,Identity Platform,"If phishing affects identity platform, then disruption could impact customers and revenue.",Phishing,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Change control; Network segmentation; Vulnerability management,5,4,Compliance Manager,Avoid,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0246,MES,"If ransomware affects mes, then disruption could impact customers and revenue.",Ransomware,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Network segmentation; PAM enforced; Backups tested,3,6,Compliance Manager,Accept,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0247,Customer Portal,"If credential stuffing affects customer portal, then disruption could impact customers and revenue.",Credential stuffing,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,MFA; Vulnerability management; WAF and rate limiting,1,25,SOC Manager,Mitigate,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0248,Network Core,"If insider misuse affects network core, then disruption could impact customers and revenue.",Insider misuse,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Network segmentation; PAM enforced; Vulnerability management,3,6,IT Ops Manager,Avoid,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0249,Identity Platform,"If ransomware affects identity platform, then disruption could impact customers and revenue.",Ransomware,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,MFA; Change control; Vulnerability management,2,7,Risk Manager,Accept,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0250,Identity Platform,"If credential stuffing affects identity platform, then disruption could impact customers and revenue.",Credential stuffing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,EDR with containment; WAF and rate limiting; PAM enforced,4,12,Product Lead,Avoid,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0251,ERP,"If ddos affects erp, then disruption could impact customers and revenue.",DDoS,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,SIEM detections; MFA; Vulnerability management,5,16,Compliance Manager,Accept,2024-12-31,In Progress,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0252,SOC Tooling,"If configuration drift affects soc tooling, then disruption could impact customers and revenue.",Configuration drift,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Vulnerability management; Backups tested; MFA,3,6,Risk Manager,Accept,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0253,MES,"If ddos affects mes, then disruption could impact customers and revenue.",DDoS,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Change control; Vulnerability management; PAM enforced,1,15,IT Ops Manager,Accept,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0254,Endpoint Fleet,"If ransomware affects endpoint fleet, then disruption could impact customers and revenue.",Ransomware,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,SIEM detections; MFA; Network segmentation,3,10,CISO,Mitigate,2024-12-31,Open,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0255,Customer Portal,"If phishing affects customer portal, then disruption could impact customers and revenue.",Phishing,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,Network segmentation; Backups tested; Vulnerability management,5,2,SOC Manager,Mitigate,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0256,MES,"If data exfiltration affects mes, then disruption could impact customers and revenue.",Data exfiltration,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,SIEM detections; MFA; WAF and rate limiting,3,18,CISO,Mitigate,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0257,Data Warehouse,"If insider misuse affects data warehouse, then disruption could impact customers and revenue.",Insider misuse,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,Network segmentation; SIEM detections; MFA,4,12,SOC Manager,Mitigate,2024-12-31,Monitoring,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0258,Endpoint Fleet,"If insider misuse affects endpoint fleet, then disruption could impact customers and revenue.",Insider misuse,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,WAF and rate limiting; Vulnerability management; Backups tested,2,19,Compliance Manager,Transfer,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0259,ERP,"If data exfiltration affects erp, then disruption could impact customers and revenue.",Data exfiltration,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,Vulnerability management; Change control; MFA,5,5,Compliance Manager,Accept,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0260,Endpoint Fleet,"If data exfiltration affects endpoint fleet, then disruption could impact customers and revenue.",Data exfiltration,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,PAM enforced; Vulnerability management; SIEM detections,2,9,Compliance Manager,Transfer,2024-12-31,In Progress,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0261,Endpoint Fleet,"If privilege escalation affects endpoint fleet, then disruption could impact customers and revenue.",Privilege escalation,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Network segmentation; PAM enforced; Change control,4,12,Product Lead,Mitigate,2024-12-31,Accepted,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0262,Network Core,"If ddos affects network core, then disruption could impact customers and revenue.",DDoS,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,EDR with containment; Vulnerability management; PAM enforced,5,8,SOC Manager,Transfer,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0263,Customer Portal,"If ransomware affects customer portal, then disruption could impact customers and revenue.",Ransomware,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,PAM enforced; Network segmentation; MFA,2,5,CISO,Accept,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0264,MES,"If configuration drift affects mes, then disruption could impact customers and revenue.",Configuration drift,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,WAF and rate limiting; PAM enforced; SIEM detections,3,10,Compliance Manager,Avoid,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0265,Endpoint Fleet,"If privilege escalation affects endpoint fleet, then disruption could impact customers and revenue.",Privilege escalation,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,Change control; SIEM detections; Vulnerability management,3,7,Risk Manager,Avoid,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0266,Endpoint Fleet,"If ransomware affects endpoint fleet, then disruption could impact customers and revenue.",Ransomware,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,Change control; Vulnerability management; EDR with containment,2,11,Risk Manager,Avoid,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0267,Network Core,"If phishing affects network core, then disruption could impact customers and revenue.",Phishing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,PAM enforced; Backups tested; Vulnerability management,3,7,SOC Manager,Mitigate,2024-12-31,Closed,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0268,Network Core,"If configuration drift affects network core, then disruption could impact customers and revenue.",Configuration drift,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,MFA; Backups tested; Change control,5,5,IT Ops Manager,Avoid,2024-12-31,Closed,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0269,Network Core,"If data exfiltration affects network core, then disruption could impact customers and revenue.",Data exfiltration,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,SIEM detections; EDR with containment; Network segmentation,3,18,IT Ops Manager,Accept,2024-12-31,Closed,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0270,Data Warehouse,"If credential stuffing affects data warehouse, then disruption could impact customers and revenue.",Credential stuffing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,PAM enforced; Change control; Network segmentation,4,7,Security Architect,Transfer,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0271,Identity Platform,"If credential stuffing affects identity platform, then disruption could impact customers and revenue.",Credential stuffing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,Change control; PAM enforced; SIEM detections,4,3,Compliance Manager,Accept,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0272,Endpoint Fleet,"If ddos affects endpoint fleet, then disruption could impact customers and revenue.",DDoS,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,EDR with containment; Backups tested; Change control,5,2,Risk Manager,Avoid,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0273,ERP,"If phishing affects erp, then disruption could impact customers and revenue.",Phishing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,SIEM detections; Network segmentation; Change control,5,16,Compliance Manager,Transfer,2024-12-31,Closed,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0274,Customer Portal,"If credential stuffing affects customer portal, then disruption could impact customers and revenue.",Credential stuffing,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,SIEM detections; Change control; Backups tested,3,6,SOC Manager,Avoid,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0275,Identity Platform,"If ddos affects identity platform, then disruption could impact customers and revenue.",DDoS,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,EDR with containment; PAM enforced; Change control,2,14,SOC Manager,Avoid,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0276,Email,"If data exfiltration affects email, then disruption could impact customers and revenue.",Data exfiltration,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",3,5,15,MFA; Network segmentation; Vulnerability management,1,15,Risk Manager,Transfer,2024-12-31,Closed,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0277,Identity Platform,"If credential stuffing affects identity platform, then disruption could impact customers and revenue.",Credential stuffing,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,PAM enforced; Network segmentation; SIEM detections,1,12,Product Lead,Mitigate,2024-12-31,Monitoring,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0278,Data Warehouse,"If data exfiltration affects data warehouse, then disruption could impact customers and revenue.",Data exfiltration,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",5,4,20,PAM enforced; Network segmentation; Change control,3,18,Product Lead,Transfer,2024-12-31,Accepted,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0279,Identity Platform,"If ddos affects identity platform, then disruption could impact customers and revenue.",DDoS,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,Backups tested; PAM enforced; MFA,4,6,CISO,Accept,2024-12-31,Monitoring,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0280,Email,"If ransomware affects email, then disruption could impact customers and revenue.",Ransomware,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,EDR with containment; WAF and rate limiting; PAM enforced,2,5,SOC Manager,Accept,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0281,Email,"If supply chain compromise affects email, then disruption could impact customers and revenue.",Supply chain compromise,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,Change control; Backups tested; SIEM detections,1,6,Risk Manager,Avoid,2024-12-31,In Progress,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0282,ERP,"If ransomware affects erp, then disruption could impact customers and revenue.",Ransomware,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,SIEM detections; PAM enforced; MFA,1,12,Security Architect,Avoid,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0283,SOC Tooling,"If credential stuffing affects soc tooling, then disruption could impact customers and revenue.",Credential stuffing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,MFA; Vulnerability management; WAF and rate limiting,5,11,SOC Manager,Avoid,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0284,MES,"If credential stuffing affects mes, then disruption could impact customers and revenue.",Credential stuffing,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,MFA; Network segmentation; EDR with containment,3,10,IT Ops Manager,Mitigate,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0285,Email,"If supply chain compromise affects email, then disruption could impact customers and revenue.",Supply chain compromise,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,WAF and rate limiting; MFA; PAM enforced,5,2,Security Architect,Mitigate,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0286,Data Warehouse,"If configuration drift affects data warehouse, then disruption could impact customers and revenue.",Configuration drift,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,MFA; EDR with containment; Network segmentation,1,12,Product Lead,Accept,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0287,MES,"If phishing affects mes, then disruption could impact customers and revenue.",Phishing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,SIEM detections; Network segmentation; Backups tested,1,12,Product Lead,Accept,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0288,Endpoint Fleet,"If phishing affects endpoint fleet, then disruption could impact customers and revenue.",Phishing,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,Change control; PAM enforced; EDR with containment,5,8,SOC Manager,Accept,2024-12-31,Monitoring,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0289,Identity Platform,"If data exfiltration affects identity platform, then disruption could impact customers and revenue.",Data exfiltration,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,SIEM detections; Vulnerability management; MFA,3,8,Compliance Manager,Avoid,2024-12-31,Accepted,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0290,Network Core,"If ddos affects network core, then disruption could impact customers and revenue.",DDoS,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,MFA; Vulnerability management; PAM enforced,1,10,IT Ops Manager,Transfer,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0291,Endpoint Fleet,"If credential stuffing affects endpoint fleet, then disruption could impact customers and revenue.",Credential stuffing,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,EDR with containment; Backups tested; Network segmentation,2,8,CISO,Accept,2024-12-31,In Progress,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0292,Data Warehouse,"If supply chain compromise affects data warehouse, then disruption could impact customers and revenue.",Supply chain compromise,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,MFA; Network segmentation; Backups tested,2,7,Risk Manager,Avoid,2024-12-31,Closed,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0293,Data Warehouse,"If phishing affects data warehouse, then disruption could impact customers and revenue.",Phishing,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,WAF and rate limiting; Network segmentation; Backups tested,1,15,SOC Manager,Mitigate,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0294,Customer Portal,"If privilege escalation affects customer portal, then disruption could impact customers and revenue.",Privilege escalation,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,WAF and rate limiting; Network segmentation; PAM enforced,1,6,Compliance Manager,Avoid,2024-12-31,Closed,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0295,Identity Platform,"If insider misuse affects identity platform, then disruption could impact customers and revenue.",Insider misuse,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,SIEM detections; Network segmentation; PAM enforced,2,11,Product Lead,Mitigate,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0296,Network Core,"If supply chain compromise affects network core, then disruption could impact customers and revenue.",Supply chain compromise,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,PAM enforced; Change control; WAF and rate limiting,4,22,Compliance Manager,Transfer,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0297,Network Core,"If data exfiltration affects network core, then disruption could impact customers and revenue.",Data exfiltration,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,PAM enforced; Network segmentation; MFA,2,11,IT Ops Manager,Transfer,2024-12-31,Monitoring,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0298,Data Warehouse,"If supply chain compromise affects data warehouse, then disruption could impact customers and revenue.",Supply chain compromise,Weak MFA enforcement,"Revenue loss, compliance exposure, and operational disruption.",5,5,25,WAF and rate limiting; Vulnerability management; MFA,1,25,Compliance Manager,Accept,2024-12-31,Closed,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0299,Network Core,"If supply chain compromise affects network core, then disruption could impact customers and revenue.",Supply chain compromise,Excessive privileges,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Change control; Vulnerability management; Backups tested,4,13,CISO,Avoid,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0300,MES,"If ransomware affects mes, then disruption could impact customers and revenue.",Ransomware,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",5,3,15,Network segmentation; WAF and rate limiting; EDR with containment,1,15,Risk Manager,Mitigate,2024-12-31,Monitoring,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0301,Network Core,"If credential stuffing affects network core, then disruption could impact customers and revenue.",Credential stuffing,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",3,4,12,PAM enforced; Backups tested; SIEM detections,4,9,Risk Manager,Avoid,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0302,Customer Portal,"If supply chain compromise affects customer portal, then disruption could impact customers and revenue.",Supply chain compromise,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,MFA; Backups tested; EDR with containment,2,5,CISO,Mitigate,2024-12-31,In Progress,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0303,Customer Portal,"If data exfiltration affects customer portal, then disruption could impact customers and revenue.",Data exfiltration,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,EDR with containment; Change control; WAF and rate limiting,1,16,IT Ops Manager,Mitigate,2024-12-31,Monitoring,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0304,Endpoint Fleet,"If ransomware affects endpoint fleet, then disruption could impact customers and revenue.",Ransomware,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,PAM enforced; MFA; Network segmentation,1,4,Compliance Manager,Accept,2024-12-31,Open,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0305,ERP,"If privilege escalation affects erp, then disruption could impact customers and revenue.",Privilege escalation,Backup gaps,"Revenue loss, compliance exposure, and operational disruption.",4,3,12,WAF and rate limiting; SIEM detections; MFA,4,9,CISO,Accept,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0306,SOC Tooling,"If configuration drift affects soc tooling, then disruption could impact customers and revenue.",Configuration drift,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,2,4,Vulnerability management; Backups tested; PAM enforced,3,2,IT Ops Manager,Accept,2024-12-31,Accepted,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0307,Customer Portal,"If supply chain compromise affects customer portal, then disruption could impact customers and revenue.",Supply chain compromise,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Change control; Network segmentation; WAF and rate limiting,1,16,Product Lead,Mitigate,2024-12-31,In Progress,"ISO 27001 A.8, A.12","Placeholder row; update with evidence links, tickets, and control IDs."
R0308,ERP,"If privilege escalation affects erp, then disruption could impact customers and revenue.",Privilege escalation,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",5,2,10,WAF and rate limiting; EDR with containment; PAM enforced,1,10,Product Lead,Accept,2024-12-31,Accepted,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0309,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",3,3,9,PAM enforced; SIEM detections; Backups tested,3,7,SOC Manager,Mitigate,2024-12-31,Monitoring,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0310,Data Warehouse,"If insider misuse affects data warehouse, then disruption could impact customers and revenue.",Insider misuse,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,Change control; Network segmentation; Backups tested,4,3,IT Ops Manager,Mitigate,2024-12-31,Open,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0311,Email,"If credential stuffing affects email, then disruption could impact customers and revenue.",Credential stuffing,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",4,2,8,Change control; MFA; EDR with containment,3,6,Security Architect,Accept,2024-12-31,Open,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0312,Customer Portal,"If credential stuffing affects customer portal, then disruption could impact customers and revenue.",Credential stuffing,Lack of monitoring,"Revenue loss, compliance exposure, and operational disruption.",2,3,6,Change control; Network segmentation; MFA,1,6,Compliance Manager,Accept,2024-12-31,Closed,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0313,Email,"If ransomware affects email, then disruption could impact customers and revenue.",Ransomware,Misconfigured firewall,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,PAM enforced; WAF and rate limiting; EDR with containment,4,5,Security Architect,Transfer,2024-12-31,Accepted,"NIST CSF ID.AM, PR.AC","Placeholder row; update with evidence links, tickets, and control IDs."
R0314,ERP,"If insider misuse affects erp, then disruption could impact customers and revenue.",Insider misuse,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,Network segmentation; Change control; MFA,1,6,Risk Manager,Accept,2024-12-31,Monitoring,"PCI DSS 7, 10","Placeholder row; update with evidence links, tickets, and control IDs."
R0315,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Vendor access unmanaged,"Revenue loss, compliance exposure, and operational disruption.",2,4,8,EDR with containment; Network segmentation; WAF and rate limiting,5,4,Risk Manager,Mitigate,2024-12-31,Closed,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0316,MES,"If data exfiltration affects mes, then disruption could impact customers and revenue.",Data exfiltration,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",4,5,20,Backups tested; Network segmentation; MFA,3,18,CISO,Transfer,2024-12-31,In Progress,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
R0317,Data Warehouse,"If ddos affects data warehouse, then disruption could impact customers and revenue.",DDoS,Shadow IT integrations,"Revenue loss, compliance exposure, and operational disruption.",3,2,6,Vulnerability management; PAM enforced; EDR with containment,3,4,Product Lead,Mitigate,2024-12-31,Closed,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0318,Network Core,"If ransomware affects network core, then disruption could impact customers and revenue.",Ransomware,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,SIEM detections; PAM enforced; Backups tested,3,14,IT Ops Manager,Accept,2024-12-31,In Progress,"COBIT DSS05, DSS06","Placeholder row; update with evidence links, tickets, and control IDs."
R0319,MES,"If insider misuse affects mes, then disruption could impact customers and revenue.",Insider misuse,Unpatched systems,"Revenue loss, compliance exposure, and operational disruption.",4,4,16,Backups tested; MFA; Network segmentation,2,15,Compliance Manager,Mitigate,2024-12-31,Accepted,"SOC 2 CC6, CC7","Placeholder row; update with evidence links, tickets, and control IDs."
R0320,MES,"If configuration drift affects mes, then disruption could impact customers and revenue.",Configuration drift,Legacy protocols,"Revenue loss, compliance exposure, and operational disruption.",2,5,10,Vulnerability management; Change control; PAM enforced,1,10,Compliance Manager,Accept,2024-12-31,Closed,"NIST CSF DE.CM, RS.MI","Placeholder row; update with evidence links, tickets, and control IDs."
