Control ID,Control Description,Risk ID,Business Service,Framework Reference,Control Owner,Implementation Status,Evidence,Notes
C0416,Implement control 416 for Endpoint Fleet addressing COBIT DSS05.,R0016,Endpoint Fleet,COBIT DSS05,Network Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0417,Implement control 417 for Customer Portal addressing COBIT DSS06.,R0017,Customer Portal,COBIT DSS06,Application Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0418,Implement control 418 for Data Warehouse addressing SOC 2 CC6.,R0018,Data Warehouse,SOC 2 CC6,Vendor Management,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0419,Implement control 419 for Endpoint Fleet addressing SOC 2 CC7.,R0019,Endpoint Fleet,SOC 2 CC7,Privacy,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0420,Implement control 420 for Customer Portal addressing ISO 27001 A.5 Policies.,R0020,Customer Portal,ISO 27001 A.5 Policies,Security Engineering,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0421,Implement control 421 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0021,Data Warehouse,ISO 27001 A.9 Access Control,IT Operations,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0422,Implement control 422 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0022,Endpoint Fleet,ISO 27001 A.12 Operations,Identity Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0423,Implement control 423 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0023,Customer Portal,ISO 27001 A.17 Business Continuity,Network Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0424,Implement control 424 for Data Warehouse addressing NIST CSF PR.AC.,R0024,Data Warehouse,NIST CSF PR.AC,Application Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0425,Implement control 425 for Endpoint Fleet addressing NIST CSF DE.CM.,R0025,Endpoint Fleet,NIST CSF DE.CM,Vendor Management,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0426,Implement control 426 for Customer Portal addressing NIST CSF RS.MI.,R0026,Customer Portal,NIST CSF RS.MI,Privacy,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0427,Implement control 427 for Data Warehouse addressing COBIT APO13.,R0027,Data Warehouse,COBIT APO13,Security Engineering,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0428,Implement control 428 for Endpoint Fleet addressing COBIT DSS05.,R0028,Endpoint Fleet,COBIT DSS05,IT Operations,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0429,Implement control 429 for Customer Portal addressing COBIT DSS06.,R0029,Customer Portal,COBIT DSS06,Identity Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0430,Implement control 430 for Data Warehouse addressing SOC 2 CC6.,R0030,Data Warehouse,SOC 2 CC6,Network Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0431,Implement control 431 for Endpoint Fleet addressing SOC 2 CC7.,R0031,Endpoint Fleet,SOC 2 CC7,Application Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0432,Implement control 432 for Customer Portal addressing ISO 27001 A.5 Policies.,R0032,Customer Portal,ISO 27001 A.5 Policies,Vendor Management,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0433,Implement control 433 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0033,Data Warehouse,ISO 27001 A.9 Access Control,Privacy,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0434,Implement control 434 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0034,Endpoint Fleet,ISO 27001 A.12 Operations,Security Engineering,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0435,Implement control 435 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0035,Customer Portal,ISO 27001 A.17 Business Continuity,IT Operations,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0436,Implement control 436 for Data Warehouse addressing NIST CSF PR.AC.,R0036,Data Warehouse,NIST CSF PR.AC,Identity Team,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0437,Implement control 437 for Endpoint Fleet addressing NIST CSF DE.CM.,R0037,Endpoint Fleet,NIST CSF DE.CM,Network Team,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0438,Implement control 438 for Customer Portal addressing NIST CSF RS.MI.,R0038,Customer Portal,NIST CSF RS.MI,Application Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0439,Implement control 439 for Data Warehouse addressing COBIT APO13.,R0039,Data Warehouse,COBIT APO13,Vendor Management,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0440,Implement control 440 for Endpoint Fleet addressing COBIT DSS05.,R0040,Endpoint Fleet,COBIT DSS05,Privacy,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0441,Implement control 441 for Customer Portal addressing COBIT DSS06.,R0041,Customer Portal,COBIT DSS06,Security Engineering,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0442,Implement control 442 for Data Warehouse addressing SOC 2 CC6.,R0042,Data Warehouse,SOC 2 CC6,IT Operations,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0443,Implement control 443 for Endpoint Fleet addressing SOC 2 CC7.,R0043,Endpoint Fleet,SOC 2 CC7,Identity Team,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0444,Implement control 444 for Customer Portal addressing ISO 27001 A.5 Policies.,R0044,Customer Portal,ISO 27001 A.5 Policies,Network Team,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0445,Implement control 445 for Data Warehouse addressing ISO 27001 A.9 Access Control.,R0045,Data Warehouse,ISO 27001 A.9 Access Control,Application Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0446,Implement control 446 for Endpoint Fleet addressing ISO 27001 A.12 Operations.,R0046,Endpoint Fleet,ISO 27001 A.12 Operations,Vendor Management,In Progress,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0447,Implement control 447 for Customer Portal addressing ISO 27001 A.17 Business Continuity.,R0047,Customer Portal,ISO 27001 A.17 Business Continuity,Privacy,Implemented,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0448,Implement control 448 for Data Warehouse addressing NIST CSF PR.AC.,R0048,Data Warehouse,NIST CSF PR.AC,Security Engineering,Monitored,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0449,Implement control 449 for Endpoint Fleet addressing NIST CSF DE.CM.,R0049,Endpoint Fleet,NIST CSF DE.CM,IT Operations,Improving,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
C0450,Implement control 450 for Customer Portal addressing NIST CSF RS.MI.,R0050,Customer Portal,NIST CSF RS.MI,Identity Team,Planned,Link to policy/procedure/test results,Document evidence paths and monitoring coverage.
